CommonName,NDF-RT,ICD11Code,Drugs
Infection caused by Escherichia coli,['N0000146109'],1,['DOXYCYCLINE']
Infection caused by Mycobacterium avium-intracellulare group,['N0000148093'],3,['CLARITHROMYCIN']
Infection caused by Mycobacterium marinum,['N0000007444'],1,['MINOCYCLINE']
Infection caused by anaerobic bacteria,['N0000146194'],X,['METRONIDAZOLE']
Infection caused by multidrug resistant Acinetobacter,['N0000146109'],3,['DOXYCYCLINE']
Infection of bone,"['N0000146194', 'N0000147503']",1,"['METRONIDAZOLE', 'CIPROFLOXACIN']"
Infection of foot due to diabetes mellitus,"['N0000146102', 'N0000146103']",5,"['SULFAMETHOXAZOLE', 'TRIMETHOPRIM']"
Infection of skin and/or subcutaneous tissue,"['N0000147185', 'N0000147503', 'N0000148093']",14,"['CEPHALEXIN', 'CIPROFLOXACIN', 'CLARITHROMYCIN']"
Infectious diarrheal disease,['N0000147503'],13,['CIPROFLOXACIN']
Infectious disease of abdomen,['N0000147503'],13,['CIPROFLOXACIN']
Infectious disorder of joint,['N0000146194'],1,['METRONIDAZOLE']
Infective arthritis,['N0000146102'],1,['SULFAMETHOXAZOLE']
Infective cholangitis,['N0000147503'],13,['CIPROFLOXACIN']
Infective endocarditis,"['N0000146109', 'N0000146932', 'N0000147503', 'N0000148052']",11,"['DOXYCYCLINE', 'RIFAMPIN', 'CIPROFLOXACIN', 'VANCOMYCIN']"
Infective proctitis,['N0000146109'],13,['DOXYCYCLINE']
Infertile,['N0000147889'],16,['LEUPROLIDE']
Infertility due to oligospermia,['N0000148024'],16,['TAMOXIFEN']
Inflammation of joint of shoulder region,"['N0000145898', 'N0000145980', 'N0000146334']",15,"['ACETAMINOPHEN', 'TRIAMCINOLONE', 'PREDNISOLONE']"
Inflammatory bowel disease,"['N0000146194', 'N0000146229', 'N0000146249', 'N0000146273', 'N0000146334', 'N0000146409', 'N0000147069', 'N0000147079', 'N0000147503', 'N0000147916', 'N0000148384', 'N0000148580', 'N0000148789', 'N0000148870']",13,"['METRONIDAZOLE', 'PREDNISONE', 'SULFASALAZINE', 'DEXAMETHASONE', 'PREDNISOLONE', 'METHYLPREDNISOLONE', 'AZATHIOPRINE', 'MERCAPTOPURINE', 'CIPROFLOXACIN', 'METHOTREXATE', 'BUDESONIDE', 'INFLIXIMAB', 'ADALIMUMAB', 'NATALIZUMAB']"
Inflammatory disorder,['N0000006993'],16,['IBUPROFEN']
Inflammatory disorder of musculoskeletal system,"['N0000145980', 'N0000146229', 'N0000146273', 'N0000146291', 'N0000146334', 'N0000146409']",X,"['TRIAMCINOLONE', 'PREDNISONE', 'DEXAMETHASONE', 'HYDROCORTISONE', 'PREDNISOLONE', 'METHYLPREDNISOLONE']"
Inflammatory hyperkeratotic dermatosis,['N0000147931'],14,['MOMETASONE']
Influenza,['N0000147496'],1,['RIBAVIRIN']
Injection site extravasation,['N0000148026'],1,['TERBUTALINE']
Injury of head,['N0000146229'],22,['PREDNISONE']
Insomnia,"['N0000147816', 'N0000021601', 'N0000023088', 'N0000146205', 'N0000148039', 'N0000147828']",7,"['DIPHENHYDRAMINE', 'ZOLPIDEM', 'ESZOPICLONE', 'LORAZEPAM', 'TRAZODONE', 'DOXEPIN']"
Insomnia disorder related to known organic factor,['N0000147828'],6,['DOXEPIN']
Instillation of dilating eye drops to eye,['N0000147687'],X,['ATROPINE']
Intermittent urinary incontinence,['N0000147946'],19,['NORTRIPTYLINE']
Intestinal infection caused by Aeromonas hydrophila,"['N0000146102', 'N0000146103']",1,"['SULFAMETHOXAZOLE', 'TRIMETHOPRIM']"
Intracranial tumor,"['N0000146166', 'N0000146229', 'N0000146273', 'N0000146334', 'N0000146409', 'N0000146452', 'N0000146473', 'N0000146478', 'N0000147598', 'N0000148056', 'N0000147080']",22,"['FLUOROURACIL', 'PREDNISONE', 'DEXAMETHASONE', 'PREDNISOLONE', 'METHYLPREDNISOLONE', 'CYCLOPHOSPHAMIDE', 'CARMUSTINE', 'ETOPOSIDE', 'CARBOPLATIN', 'VINCRISTINE', 'THIOGUANINE']"
Invasive candidiasis,['N0000148767'],1,['VORICONAZOLE']
Invasive trichinosis,"['N0000145980', 'N0000146229', 'N0000146334', 'N0000146409']",1,"['TRIAMCINOLONE', 'PREDNISONE', 'PREDNISOLONE', 'METHYLPREDNISOLONE']"
Involutional depression,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Iridocyclitis,['N0000146229'],11,['PREDNISONE']
Irritable bowel syndrome,"['N0000147702', 'N0000147893', 'N0000148858', 'N0000147946', 'N0000148257', 'N0000148335']",13,"['AMITRIPTYLINE', 'LOPERAMIDE', 'RIFAXIMIN', 'NORTRIPTYLINE', 'SERTRALINE', 'PAROXETINE']"
Ischemic heart disease,"['N0000145909', 'N0000147924']",11,"['NITROGLYCERIN', 'METOPROLOL']"
Ischemic stroke,['N0000145918'],8,['ASPIRIN']
Juvenile idiopathic arthritis,"['N0000147806', 'N0000147916', 'N0000148580', 'N0000148590', 'N0000148789']",X,"['DICLOFENAC', 'METHOTREXATE', 'INFLIXIMAB', 'ETANERCEPT', 'ADALIMUMAB']"
Juvenile idiopathic generalized osteoporosis,['N0000148414'],X,['ALENDRONATE']
Kaposi's sarcoma (clinical),"['N0000021986', 'N0000022036', 'N0000148055']",2,"['VINORELBINE', 'GEMCITABINE', 'VINBLASTINE']"
Kaposi's sarcoma with AIDS (acquired immunodeficiency syndrome),"['N0000146478', 'N0000147829', 'N0000148056', 'N0000148314', 'N0000148588']",4,"['ETOPOSIDE', 'DOXORUBICIN', 'VINCRISTINE', 'PACLITAXEL', 'THALIDOMIDE']"
Keloid scar,"['N0000145980', 'N0000148054']",1,"['TRIAMCINOLONE', 'VERAPAMIL']"
Keratitis,['N0000146229'],9,['PREDNISONE']
Keratoacanthoma,['N0000146166'],1,['FLUOROURACIL']
Keratoconjunctivitis sicca,['N0000147064'],9,['CYCLOSPORINE']
Ketoacidotic coma due to diabetes mellitus,['N0000148467'],5,"['INSULIN,LISPRO,HUMAN/RDNA']"
Kidney disease,"['N0000147835', 'N0000148333', 'N0000148406', 'N0000148603']",3,"['ENALAPRIL', 'AMLODIPINE', 'MYCOPHENOLATE MOFETIL', 'CANDESARTAN']"
Langerhans cell histiocytosis,"['N0000146452', 'N0000147072', 'N0000148055']",2,"['CYCLOPHOSPHAMIDE', 'CHLORAMBUCIL', 'VINBLASTINE']"
Laryngitis due to gastroesophageal reflux,['N0000147569'],12,['OMEPRAZOLE']
Laryngopharyngeal reflux,['N0000148623'],X,['RABEPRAZOLE']
Late insomnia,['N0000147828'],7,['DOXEPIN']
Late onset dysthymia,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",13,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Left sided ulcerative colitis,['N0000148384'],13,['BUDESONIDE']
Left ventricular cardiac dysfunction,['N0000145994'],11,['CAPTOPRIL']
Left ventricular diastolic dysfunction,"['N0000145909', 'N0000145994', 'N0000146234', 'N0000146784', 'N0000147537', 'N0000147662', 'N0000147835', 'N0000147924', 'N0000148001', 'N0000148054', 'N0000148336', 'N0000148401', 'N0000148456', 'N0000148505', 'N0000148533', 'N0000148603', 'N0000148627', 'N0000176131']",11,"['NITROGLYCERIN', 'CAPTOPRIL', 'SPIRONOLACTONE', 'ATENOLOL', 'LISINOPRIL', 'RAMIPRIL', 'ENALAPRIL', 'METOPROLOL', 'PROPRANOLOL', 'VERAPAMIL', 'BENAZEPRIL', 'LOSARTAN', 'VALSARTAN', 'CARVEDILOL', 'IRBESARTAN', 'CANDESARTAN', 'PERINDOPRIL', 'NEBIVOLOL']"
Left ventricular hypertrophy,"['N0000146240', 'N0000148333', 'N0000148533']",11,"['CHLORTHALIDONE', 'AMLODIPINE', 'IRBESARTAN']"
Legionella pneumonia,"['N0000146932', 'N0000148093']",12,"['RIFAMPIN', 'CLARITHROMYCIN']"
Leishmaniasis,['N0000146247'],1,['ALLOPURINOL']
Leprosy,"['N0000007444', 'N0000146334', 'N0000146932', 'N0000147467']",1,"['MINOCYCLINE', 'PREDNISOLONE', 'RIFAMPIN', 'DAPSONE']"
Leptospirosis,['N0000146109'],1,['DOXYCYCLINE']
Leukemia,"['N0000146229', 'N0000146261', 'N0000146273', 'N0000146409', 'N0000147598']",X,"['PREDNISONE', 'THIOTEPA', 'DEXAMETHASONE', 'METHYLPREDNISOLONE', 'CARBOPLATIN']"
Leukoplakia,['N0000146166'],X,['FLUOROURACIL']
Lichen planus,"['N0000145980', 'N0000148372', 'N0000147467']",14,"['TRIAMCINOLONE', 'TACROLIMUS', 'DAPSONE']"
Lichen simplex chronicus,['N0000145980'],14,['TRIAMCINOLONE']
Listeriosis,['N0000146109'],1,['DOXYCYCLINE']
Liver cell carcinoma,"['N0000146476', 'N0000146478', 'N0000147829']",2,"['CISPLATIN', 'ETOPOSIDE', 'DOXORUBICIN']"
Liver transplant rejection,"['N0000147064', 'N0000147069', 'N0000148406', 'N0000148372', 'N0000148832']",22,"['CYCLOSPORINE', 'AZATHIOPRINE', 'MYCOPHENOLATE MOFETIL', 'TACROLIMUS', 'MYCOPHENOLIC ACID']"
Local recurrence of malignant tumor of kidney,['N0000180309'],X,['PAZOPANIB']
Localized scleroderma,"['N0000146229', 'N0000147916', 'N0000148580']",4,"['PREDNISONE', 'METHOTREXATE', 'INFLIXIMAB']"
Loss of appetite,"['N0000147899', 'N0000148449']",13,"['MEDROXYPROGESTERONE', 'MIRTAZAPINE']"
Lower respiratory tract infection,['N0000148052'],12,['VANCOMYCIN']
Lower urinary tract symptoms,['N0000022081'],21,['TAMSULOSIN']
Lung transplant rejection,"['N0000147064', 'N0000148372']",22,"['CYCLOSPORINE', 'TACROLIMUS']"
Lupus erythematosus,"['N0000146229', 'N0000146452', 'N0000147064', 'N0000147149', 'N0000147871', 'N0000147916', 'N0000148560', 'N0000148586']",4,"['PREDNISONE', 'CYCLOPHOSPHAMIDE', 'CYCLOSPORINE', 'NAPROXEN', 'HYDROXYCHLOROQUINE', 'METHOTREXATE', 'RITUXIMAB', 'LEFLUNOMIDE']"
Lupus erythematosus-associated urticarial vasculitis,['N0000147467'],4,['DAPSONE']
Lyme disease,"['N0000146109', 'N0000148093']",8,"['DOXYCYCLINE', 'CLARITHROMYCIN']"
Lymphocutaneous sporotrichosis,['N0000021605'],1,['TERBINAFINE']
Lymphogranuloma venereum,['N0000146109'],1,['DOXYCYCLINE']
Lymphoproliferative disorder following transplantation,['N0000148560'],2,['RITUXIMAB']
Macular retinal edema,['N0000146273'],8,['DEXAMETHASONE']
Major depression in full remission,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Major depression in partial remission,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",6,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Major depression in remission,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
"Major depression single episode, in partial remission","['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
"Major depression, melancholic type","['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",6,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
"Major depression, single episode","['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",6,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Major depressive disorder,"['N0000021906', 'N0000021981', 'N0000022085', 'N0000022289', 'N0000147738', 'N0000147852', 'N0000148039', 'N0000148257', 'N0000148335', 'N0000148449', 'N0000148786', 'N0000148860', 'N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",6,"['VENLAFAXINE', 'FLUVOXAMINE', 'QUETIAPINE', 'ESCITALOPRAM', 'BUPROPION', 'FLUOXETINE', 'TRAZODONE', 'SERTRALINE', 'PAROXETINE', 'MIRTAZAPINE', 'ARIPIPRAZOLE', 'DULOXETINE', 'DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
"Major depressive disorder, single episode with atypical features","['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",6,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
"Major depressive disorder, single episode with catatonic features","['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",6,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
"Major depressive disorder, single episode with melancholic features","['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",6,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
"Major depressive disorder, single episode with postpartum onset",['N0000148047'],X,['TRIMIPRAMINE']
Malaria,"['N0000146109', 'N0000146247', 'N0000147871', 'N0000147767', 'N0000147467', 'N0000147988', 'N0000148010']",1,"['DOXYCYCLINE', 'ALLOPURINOL', 'HYDROXYCHLOROQUINE', 'CHLOROQUINE', 'DAPSONE', 'PRIMAQUINE', 'QUINIDINE']"
Male pattern alopecia,"['N0000148118', 'N0000148790']",X,"['FINASTERIDE', 'DUTASTERIDE']"
Malignant epithelial tumor of ovary,"['N0000147066', 'N0000148513']",X,"['MELPHALAN', 'LETROZOLE']"
Malignant histiocytosis (clinical),['N0000146452'],2,['CYCLOPHOSPHAMIDE']
Malignant hypertension,['N0000148116'],13,['FELODIPINE']
Malignant lymphoma,"['N0000146229', 'N0000146273', 'N0000146409', 'N0000146452', 'N0000147887', 'N0000148055', 'N0000148244', 'N0000148314']",X,"['PREDNISONE', 'DEXAMETHASONE', 'METHYLPREDNISOLONE', 'CYCLOPHOSPHAMIDE', 'LEUCOVORIN', 'VINBLASTINE', 'FLUDARABINE', 'PACLITAXEL']"
Malignant melanoma,"['N0000146473', 'N0000147598', 'N0000187069', 'N0000148697']",X,"['CARMUSTINE', 'CARBOPLATIN', 'DABRAFENIB', 'PEGINTERFERON ALFA-2B']"
Malignant meningitis,['N0000146261'],1,['THIOTEPA']
Malignant mesothelioma of pleura,"['N0000021986', 'N0000022036', 'N0000146476', 'N0000148831']",X,"['VINORELBINE', 'GEMCITABINE', 'CISPLATIN', 'PEMETREXED']"
Malignant neoplasm of adrenal cortex,['N0000146166'],2,['FLUOROURACIL']
Malignant neoplasm of brain,['N0000146473'],2,['CARMUSTINE']
Malignant neoplasm of cardio-esophageal junction of stomach,['N0000148833'],2,['CETUXIMAB']
Malignant neoplasm of central nervous system,"['N0000146476', 'N0000147916']",2,"['CISPLATIN', 'METHOTREXATE']"
Malignant neoplasm of endometrium of corpus uteri,"['N0000146452', 'N0000147598', 'N0000148314', 'N0000148845']",2,"['CYCLOPHOSPHAMIDE', 'CARBOPLATIN', 'PACLITAXEL', 'BEVACIZUMAB']"
Malignant neoplasm of liver,['N0000146166'],2,['FLUOROURACIL']
Malignant neoplasm of perinephric tissue,['N0000180309'],2,['PAZOPANIB']
Malignant neoplasm of skin,"['N0000146166', 'N0000146476']",2,"['FLUOROURACIL', 'CISPLATIN']"
Malignant neoplasm of urinary bladder,"['N0000022036', 'N0000146166', 'N0000147598', 'N0000147916', 'N0000148314', 'N0000148831']",2,"['GEMCITABINE', 'FLUOROURACIL', 'CARBOPLATIN', 'METHOTREXATE', 'PACLITAXEL', 'PEMETREXED']"
Malignant neoplasm of uterus,['N0000022036'],2,['GEMCITABINE']
Malignant tumor of anus,"['N0000146166', 'N0000146476']",X,"['FLUOROURACIL', 'CISPLATIN']"
Malignant tumor of biliary tract,"['N0000022036', 'N0000146166']",2,"['GEMCITABINE', 'FLUOROURACIL']"
Malignant tumor of breast,"['N0000022036', 'N0000146334', 'N0000147066', 'N0000147628', 'N0000147899', 'N0000147916', 'N0000148024', 'N0000148056', 'N0000148638', 'N0000148774']",2,"['GEMCITABINE', 'PREDNISOLONE', 'MELPHALAN', 'GOSERELIN ACETATE', 'MEDROXYPROGESTERONE', 'METHOTREXATE', 'TAMOXIFEN', 'VINCRISTINE', 'EPIRUBICIN', 'OXALIPLATIN']"
Malignant tumor of cervix,"['N0000022036', 'N0000146166', 'N0000146452', 'N0000146476', 'N0000148056', 'N0000148314', 'N0000148441', 'N0000148831', 'N0000148845']",X,"['GEMCITABINE', 'FLUOROURACIL', 'CYCLOPHOSPHAMIDE', 'CISPLATIN', 'VINCRISTINE', 'PACLITAXEL', 'DOCETAXEL', 'PEMETREXED', 'BEVACIZUMAB']"
Malignant tumor of esophagus,"['N0000146166', 'N0000147598', 'N0000147887', 'N0000148314', 'N0000148555', 'N0000148774']",2,"['FLUOROURACIL', 'CARBOPLATIN', 'LEUCOVORIN', 'PACLITAXEL', 'CAPECITABINE', 'OXALIPLATIN']"
Malignant tumor of fallopian tube,['N0000148314'],X,['PACLITAXEL']
Malignant tumor of head and neck,"['N0000021986', 'N0000022036', 'N0000146166', 'N0000146476', 'N0000147598', 'N0000147887', 'N0000147916', 'N0000148314', 'N0000148441', 'N0000148810']",X,"['VINORELBINE', 'GEMCITABINE', 'FLUOROURACIL', 'CISPLATIN', 'CARBOPLATIN', 'LEUCOVORIN', 'METHOTREXATE', 'PACLITAXEL', 'DOCETAXEL', 'GEFITINIB']"
Malignant tumor of kidney,"['N0000148055', 'N0000180309']",X,"['VINBLASTINE', 'PAZOPANIB']"
Malignant tumor of kidney parenchyma,['N0000180309'],X,['PAZOPANIB']
Malignant tumor of large intestine,"['N0000022032', 'N0000145918', 'N0000146166', 'N0000147887', 'N0000148056']",13,"['IRINOTECAN', 'ASPIRIN', 'FLUOROURACIL', 'LEUCOVORIN', 'VINCRISTINE']"
Malignant tumor of lung,"['N0000146166', 'N0000147829', 'N0000147916']",X,"['FLUOROURACIL', 'DOXORUBICIN', 'METHOTREXATE']"
Malignant tumor of nasopharynx,"['N0000146166', 'N0000146476', 'N0000148314', 'N0000148638']",X,"['FLUOROURACIL', 'CISPLATIN', 'PACLITAXEL', 'EPIRUBICIN']"
Malignant tumor of ovary,"['N0000021986', 'N0000022032', 'N0000022036', 'N0000146261', 'N0000146476', 'N0000147598', 'N0000147829', 'N0000147889', 'N0000148314', 'N0000148427', 'N0000148441', 'N0000148555', 'N0000148638', 'N0000148774', 'N0000148831', 'N0000148845']",X,"['VINORELBINE', 'IRINOTECAN', 'GEMCITABINE', 'THIOTEPA', 'CISPLATIN', 'CARBOPLATIN', 'DOXORUBICIN', 'LEUPROLIDE', 'PACLITAXEL', 'ANASTROZOLE', 'DOCETAXEL', 'CAPECITABINE', 'EPIRUBICIN', 'OXALIPLATIN', 'PEMETREXED', 'BEVACIZUMAB']"
Malignant tumor of pancreas,"['N0000022032', 'N0000147887', 'N0000148555', 'N0000148774']",13,"['IRINOTECAN', 'LEUCOVORIN', 'CAPECITABINE', 'OXALIPLATIN']"
Malignant tumor of prostate,"['N0000146334', 'N0000146409', 'N0000146478', 'N0000147628', 'N0000148588', 'N0000148810']",16,"['PREDNISOLONE', 'METHYLPREDNISOLONE', 'ETOPOSIDE', 'GOSERELIN ACETATE', 'THALIDOMIDE', 'GEFITINIB']"
Malignant tumor of salivary gland,['N0000021986'],13,['VINORELBINE']
Malignant tumor of stomach,"['N0000022032', 'N0000146166', 'N0000146476', 'N0000146478', 'N0000147887', 'N0000148314', 'N0000148441', 'N0000148555', 'N0000148638', 'N0000148774', 'N0000148833']",X,"['IRINOTECAN', 'FLUOROURACIL', 'CISPLATIN', 'ETOPOSIDE', 'LEUCOVORIN', 'PACLITAXEL', 'DOCETAXEL', 'CAPECITABINE', 'EPIRUBICIN', 'OXALIPLATIN', 'CETUXIMAB']"
Malignant tumor of testis,"['N0000022036', 'N0000146452', 'N0000146476', 'N0000146478', 'N0000147598', 'N0000148055', 'N0000148056', 'N0000148314', 'N0000148774']",X,"['GEMCITABINE', 'CYCLOPHOSPHAMIDE', 'CISPLATIN', 'ETOPOSIDE', 'CARBOPLATIN', 'VINBLASTINE', 'VINCRISTINE', 'PACLITAXEL', 'OXALIPLATIN']"
Malignant tumor of thymus,['N0000146166'],X,['FLUOROURACIL']
Malignant tumor of thyroid gland,['N0000180309'],X,['PAZOPANIB']
Malignant tumor of vagina,['N0000146166'],X,['FLUOROURACIL']
Malignant tumor of vulva,"['N0000146166', 'N0000146476']",16,"['FLUOROURACIL', 'CISPLATIN']"
Manic bipolar I disorder,"['N0000146226', 'N0000148465']",6,"['CARBAMAZEPINE', 'OLANZAPINE']"
Mantle cell lymphoma,"['N0000022036', 'N0000146452', 'N0000148056', 'N0000148560', 'N0000148811']",14,"['GEMCITABINE', 'CYCLOPHOSPHAMIDE', 'VINCRISTINE', 'RITUXIMAB', 'BORTEZOMIB']"
Marfan's syndrome,['N0000148401'],4,['LOSARTAN']
Marginal zone lymphoma,['N0000148560'],2,['RITUXIMAB']
Masked depression,"['N0000147828', 'N0000148387', 'N0000148003']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE']"
"Maturity onset diabetes of the young, type 2",['N0000146198'],X,['CHLORPROPAMIDE']
Medication-induced movement disorder,['N0000147816'],6,['DIPHENHYDRAMINE']
Megaloblastic anemia due to folate deficiency,['N0000147887'],3,['LEUCOVORIN']
Melanocytic neoplasm,"['N0000148056', 'N0000148697']",2,"['VINCRISTINE', 'PEGINTERFERON ALFA-2B']"
Melioidosis,"['N0000146102', 'N0000146103']",1,"['SULFAMETHOXAZOLE', 'TRIMETHOPRIM']"
Membranous glomerulonephritis,"['N0000148244', 'N0000148560']",21,"['FLUDARABINE', 'RITUXIMAB']"
Meningococcal infectious disease,"['N0000007444', 'N0000146932', 'N0000147503']",1,"['MINOCYCLINE', 'RIFAMPIN', 'CIPROFLOXACIN']"
Menopausal depression,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Menopausal flushing,['N0000021906'],16,['VENLAFAXINE']
Menopausal symptom,"['N0000146370', 'N0000147899']",21,"['LEVONORGESTREL', 'MEDROXYPROGESTERONE']"
Menorrhagia,"['N0000146366', 'N0000146370', 'N0000147149']",2,"['ETHINYL ESTRADIOL', 'LEVONORGESTREL', 'NAPROXEN']"
Merkel cell carcinoma,"['N0000146478', 'N0000147598']",2,"['ETOPOSIDE', 'CARBOPLATIN']"
"Mesothelioma (malignant, clinical disorder)","['N0000146478', 'N0000147598']",X,"['ETOPOSIDE', 'CARBOPLATIN']"
Metabolic disease,['N0000148821'],5,['ROSUVASTATIN']
Metabolic syndrome X,"['N0000022046', 'N0000148200', 'N0000148613']",4,"['ATORVASTATIN', 'SIMVASTATIN', 'ROSIGLITAZONE']"
Metastatic adenocarcinoma of unknown origin,"['N0000022036', 'N0000148441']",2,"['GEMCITABINE', 'DOCETAXEL']"
Metastatic malignant melanoma,"['N0000146476', 'N0000148055', 'N0000148698', 'N0000187069']",X,"['CISPLATIN', 'VINBLASTINE', 'IMATINIB', 'DABRAFENIB']"
Metastatic malignant neoplasm to kidney,['N0000180309'],2,['PAZOPANIB']
Methicillin resistant Staphylococcus aureus infection,"['N0000007444', 'N0000148052', 'N0000146102', 'N0000146103']",1,"['MINOCYCLINE', 'VANCOMYCIN', 'SULFAMETHOXAZOLE', 'TRIMETHOPRIM']"
Methotrexate adverse reaction,['N0000147887'],14,['LEUCOVORIN']
Migraine,"['N0000006993', 'N0000021928', 'N0000021906', 'N0000145918', 'N0000146207', 'N0000147537', 'N0000147835', 'N0000147875', 'N0000147924', 'N0000148054', 'N0000148390', 'N0000148603', 'N0000148644', 'N0000176131', 'N0000145898', 'N0000146717', 'N0000146784', 'N0000147028', 'N0000147149', 'N0000147702', 'N0000147806', 'N0000147946', 'N0000148001', 'N0000148345', 'N0000148514']",8,"['IBUPROFEN', 'BISOPROLOL', 'VENLAFAXINE', 'ASPIRIN', 'CLONIDINE', 'LISINOPRIL', 'ENALAPRIL', 'IMIPRAMINE', 'METOPROLOL', 'VERAPAMIL', 'LAMOTRIGINE', 'CANDESARTAN', 'LEVETIRACETAM', 'NEBIVOLOL', 'ACETAMINOPHEN', 'NIFEDIPINE', 'ATENOLOL', 'VALPROIC ACID', 'NAPROXEN', 'AMITRIPTYLINE', 'DICLOFENAC', 'NORTRIPTYLINE', 'PROPRANOLOL', 'GABAPENTIN', 'SUMATRIPTAN']"
Migraine variant with headache,['N0000147702'],8,['AMITRIPTYLINE']
Mild chronic obstructive pulmonary disease,['N0000182968'],12,['INDACATEROL']
Mild depressed bipolar I disorder,['N0000148387'],6,['NEFAZODONE']
Mild depression,"['N0000147828', 'N0000148387']",19,"['DOXEPIN', 'NEFAZODONE']"
Mild major depression,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047', 'N0000188994']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE', 'VORTIOXETINE']"
"Mild major depression, single episode","['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",6,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Mild recurrent major depression,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Minimal change disease,['N0000146452'],1,['CYCLOPHOSPHAMIDE']
Mitral and aortic incompetence,['N0000147869'],X,['HYDRALAZINE']
Mixed anxiety and depressive disorder,['N0000147828'],6,['DOXEPIN']
Mixed hyperlipidemia,"['N0000021914', 'N0000148821']",19,"['FLUVASTATIN', 'ROSUVASTATIN']"
Mixed insomnia,['N0000147828'],7,['DOXEPIN']
Mixed sleep apnea,['N0000148602'],7,['MODAFINIL']
Moderate chronic obstructive pulmonary disease,['N0000182968'],12,['INDACATEROL']
Moderate depressed bipolar I disorder,['N0000148387'],6,['NEFAZODONE']
Moderate depression,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Moderate major depression,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
"Moderate major depression, single episode","['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",6,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Moderate pain,['N0000021990'],X,['TRAMADOL']
Moderate recurrent major depression,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Motion sickness,"['N0000147816', 'N0000147898']",X,"['DIPHENHYDRAMINE', 'MECLIZINE']"
Mucosa-associated lymphoma,['N0000148560'],2,['RITUXIMAB']
Multi-infarct dementia,['N0000004713'],6,['DONEPEZIL']
Multifocal atrial tachycardia,['N0000147924'],8,['METOPROLOL']
Multiple atrial premature complexes,['N0000148010'],11,['QUINIDINE']
